2026-03-05 22:40:08,908 | INFO | root | === POS Scale App started ===
2026-03-05 22:40:09,320 | INFO | app.ui.main_window | Main window ready
2026-03-05 22:40:09,434 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:40:09,434 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:11,142 | INFO | root | === POS Scale App started ===
2026-03-05 22:41:11,233 | INFO | app.ui.main_window | Main window ready
2026-03-05 22:41:11,332 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:11,332 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:13,337 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:13,338 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:15,343 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:15,344 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:17,349 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:17,350 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:19,353 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:19,354 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:21,359 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:21,360 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:23,365 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:23,366 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:25,371 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:25,372 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:27,376 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:27,377 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:29,379 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:29,379 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:31,384 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:31,385 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:33,390 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:33,391 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:35,392 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:35,393 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:37,396 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:37,397 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:39,401 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:39,401 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:41,401 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:41,401 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:43,406 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:43,407 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:45,412 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:45,412 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:47,417 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:47,417 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:49,423 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:49,423 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:51,429 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:51,429 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:53,431 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:53,432 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:55,432 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:55,433 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:57,439 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:57,440 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:41:59,441 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:41:59,442 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:01,445 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:01,446 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:03,452 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:03,453 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:05,458 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:05,459 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:07,463 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:07,463 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:09,469 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:09,470 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:11,474 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:11,474 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:13,478 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:13,479 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:15,484 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:15,485 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:17,488 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:17,489 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:19,494 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:19,495 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:21,498 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:21,498 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:23,499 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:23,500 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
2026-03-05 22:42:25,505 | INFO | app.scale.reader | Connecting to COM6 @ 9600...
2026-03-05 22:42:25,506 | ERROR | app.scale.reader | Serial error: [Errno 2] could not open port COM6: [Errno 2] No such file or directory: 'COM6' (COM port busy? Close other apps using the scale.)
